CREATE TABLE orders (
order_id SERIAL NOT NULL PRIMARY KEY,
customer_id INT, 
order_date DATE
);









INSERT INTO orders (order_id, customer_id, order_date) VALUES
(10400, 19, '2022-01-01'),
(10401, 65, '2022-01-01'),
(10402, 20, '2022-01-02'),
(10403, 20, '2022-01-03'),
(10404, 49, '2022-01-03'),
(10405, 47, '2022-01-06'),
(10406, 62, '2022-01-07'),
(10407, 56, '2022-01-07'),
(10408, 23, '2022-01-08'),
(10409, 54, '2022-01-09'),
(10410, 10, '2022-01-10'),
(10411, 10, '2022-01-10'),
(10412, 87, '2022-01-13'),
(10413, 41, '2022-01-14'),
(10414, 21, '2022-01-14'),
(10415, 36, '2022-01-15'),
(10416, 87, '2022-01-16'),
(10417, 73, '2022-01-16'),
(10418, 63, '2022-01-17'),
(10419, 68, '2022-01-20'),
(10420, 88, '2022-01-21'),
(10421, 61, '2022-01-21'),
(10422, 27, '2022-01-22'),
(10423, 31, '2022-01-23'),
(10424, 51, '2022-01-23'),
(10426, 29, '2022-01-27'),
(10427, 59, '2022-01-27'),
(10428, 66, '2022-01-28'),
(10429, 37, '2022-01-29'),
(10430, 20, '2022-01-30'),
(10431, 10, '2022-01-30'),
(10432, 75, '2022-01-31'),
(10433, 60, '2022-02-03'),
(10434, 24, '2022-02-03'),
(10435, 16, '2022-02-04'),
(10436, 7, '2022-02-05'),
(10437, 87, '2022-02-05'),
(10438, 79, '2022-02-06'),
(10439, 51, '2022-02-07'),
(10440, 71, '2022-02-10'),
(10441, 55, '2022-02-10'),
(10442, 20, '2022-02-11'),
(10443, 66, '2022-02-12'),
(10444, 5, '2022-02-12'),
(10445, 5, '2022-02-13'),
(10446, 79, '2022-02-14'),
(10447, 67, '2022-02-14'),
(10448, 64, '2022-02-17'),
(10449, 7, '2022-02-18'),
(10450, 84, '2022-02-19'),
(10451, 63, '2022-02-19'),
(10452, 71, '2022-02-20'),
(10453, 4, '2022-02-21'),
(10454, 41, '2022-02-21'),
(10455, 87, '2022-02-24'),
(10456, 39, '2022-02-25'),
(10457, 39, '2022-02-25'),
(10458, 76, '2022-02-26'),
(10459, 84, '2022-02-27'),
(10460, 24, '2022-02-28'),
(10461, 46, '2022-02-28'),
(10462, 16, '2022-03-03'),
(10463, 76, '2022-03-04'),
(10464, 28, '2022-03-04'),
(10466, 15, '2022-03-06'),
(10467, 49, '2022-03-06'),
(10468, 39, '2022-03-07'),
(10469, 89, '2022-03-10'),
(10470, 9, '2022-03-11'),
(10471, 11, '2022-03-11'),
(10472, 72, '2022-03-12'),
(10473, 38, '2022-03-13'),
(10474, 58, '2022-03-13'),
(10475, 76, '2022-03-14'),
(10476, 35, '2022-03-17'),
(10477, 60, '2022-03-17'),
(10478, 84, '2022-03-18'),
(10479, 65, '2022-03-19'),
(10480, 23, '2022-03-20'),
(10481, 67, '2022-03-20'),
(10482, 43, '2022-03-21'),
(10483, 89, '2022-03-24'),
(10484, 11, '2022-03-24'),
(10485, 47, '2022-03-25'),
(10486, 35, '2022-03-26'),
(10487, 62, '2022-03-26'),
(10488, 25, '2022-03-27'),
(10489, 59, '2022-03-28'),
(10490, 35, '2022-03-31'),
(10491, 28, '2022-03-31'),
(10492, 10, '2022-04-01'),
(10493, 41, '2022-04-02'),
(10494, 15, '2022-04-02'),
(10495, 42, '2022-04-03'),
(10496, 81, '2022-04-04'),
(10497, 44, '2022-04-04'),
(10498, 35, '2022-04-07'),
(10499, 46, '2022-04-08'),
(10500, 41, '2022-04-09'),
(10501, 6, '2022-04-09'),
(10502, 58, '2022-04-10'),
(10503, 37, '2022-04-11'),
(10504, 89, '2022-04-11'),
(10506, 39, '2022-04-15'),
(10507, 3, '2022-04-15'),
(10508, 56, '2022-04-16'),
(10509, 6, '2022-04-17'),
(10510, 71, '2022-04-18'),
(10511, 9, '2022-04-18'),
(10512, 21, '2022-04-21'),
(10513, 86, '2022-04-22'),
(10514, 20, '2022-04-22'),
(10515, 63, '2022-04-23'),
(10516, 37, '2022-04-24'),
(10517, 53, '2022-04-24'),
(10518, 80, '2022-04-25'),
(10519, 14, '2022-04-28'),
(10520, 70, '2022-04-29'),
(10521, 12, '2022-04-29'),
(10522, 44, '2022-04-30'),
(10523, 72, '2022-05-01'),
(10524, 5, '2022-05-01'),
(10525, 9, '2022-05-02'),
(10526, 87, '2022-05-05'),
(10527, 63, '2022-05-05'),
(10528, 32, '2022-05-06'),
(10529, 50, '2022-05-07'),
(10530, 59, '2022-05-08'),
(10531, 54, '2022-05-08'),
(10532, 19, '2022-05-09'),
(10533, 24, '2022-05-12'),
(10534, 44, '2022-05-12'),
(10535, 3, '2022-05-13'),
(10536, 44, '2022-05-14'),
(10537, 68, '2022-05-14'),
(10538, 11, '2022-05-15'),
(10539, 11, '2022-05-16'),
(10540, 63, '2022-05-19'),
(10541, 34, '2022-05-19'),
(10542, 39, '2022-05-20'),
(10543, 46, '2022-05-21'),
(10544, 48, '2022-05-21'),
(10546, 84, '2022-05-23'),
(10547, 72, '2022-05-23'),
(10548, 79, '2022-05-26'),
(10549, 63, '2022-05-27'),
(10550, 30, '2022-05-28'),
(10551, 28, '2022-05-28'),
(10552, 35, '2022-05-29'),
(10553, 87, '2022-05-30'),
(10554, 56, '2022-05-30'),
(10555, 71, '2022-06-02'),
(10556, 73, '2022-06-03'),
(10557, 44, '2022-06-03'),
(10558, 4, '2022-06-04'),
(10559, 7, '2022-06-05'),
(10560, 25, '2022-06-06'),
(10561, 24, '2022-06-06'),
(10562, 66, '2022-06-09'),
(10563, 67, '2022-06-10'),
(10564, 65, '2022-06-10'),
(10565, 51, '2022-06-11'),
(10566, 7, '2022-06-12'),
(10567, 37, '2022-06-12'),
(10568, 29, '2022-06-13'),
(10569, 65, '2022-06-16'),
(10570, 51, '2022-06-17'),
(10571, 20, '2022-06-17'),
(10572, 5, '2022-06-18'),
(10573, 3, '2022-06-19'),
(10574, 82, '2022-06-19'),
(10575, 52, '2022-06-20'),
(10576, 80, '2022-06-23'),
(10577, 82, '2022-06-23'),
(10578, 11, '2022-06-24'),
(10579, 45, '2022-06-25'),
(10580, 56, '2022-06-26'),
(10581, 21, '2022-06-26'),
(10582, 6, '2022-06-27'),
(10583, 87, '2022-06-30'),
(10584, 7, '2022-06-30'),
(10586, 66, '2022-07-02'),
(10587, 61, '2022-07-02'),
(10588, 63, '2022-07-03'),
(10589, 32, '2022-07-04');
